technology,role_a,role_b,is_fork
elastic_search,elastic.elasticsearch,CyVerse-Ansible.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,DBLaci.elasticsearch,1
elastic_search,elastic.elasticsearch,GoodMirek.elasticsearch,1
elastic_search,wunzeco.elasticsearch-curator,GoodMirek.elasticsearch_curator,1
elastic_search,fiunchinho.aws-elasticsearch-module,ZippyAU.aws-elasticsearch-service,1
elastic_search,geerlingguy.elasticsearch,abelboldu.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,akeneo-labs.ansible-role-elasticsearch,1
elastic_search,geerlingguy.elasticsearch,bastiRe.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,bastly.elasticsearch,1
elastic_search,geerlingguy.elasticsearch-curator,bastly.elasticsearch-curator,1
elastic_search,geerlingguy.elasticsearch,chadek.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,chauanhtuandl.elasticsearch,1
elastic_search,aloysius-lim.elasticsearch,euforia.elasticsearch,1
elastic_search,wunzeco.elasticsearch,fatal-exception.elasticsearch,1
elastic_search,andrewrothstein.r,fouadsemaan.r,1
elastic_search,geerlingguy.elasticsearch,hexa17.elasticsearch,1
elastic_search,deimosfr.elasticsearch,inovia-team.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,jamiguet.elasticsearch-6,1
elastic_search,geerlingguy.elasticsearch,jtprogru.install_elasticsearch,1
elastic_search,geerlingguy.elasticsearch,juju4.ansible-role-elasticsearch,1
elastic_search,Stouts.elasticsearch,knockrentals.knock_Stouts_elasticsearch,1
elastic_search,elastic.elasticsearch,ktibi.ansible_elasticsearch,1
elastic_search,geerlingguy.elasticsearch,mikesplain.elasticsearch,1
elastic_search,wunzeco.elasticsearch-curator,mplachter.elasticsearch_curator,1
elastic_search,geerlingguy.elasticsearch,nycrecords.elasticsearch,1
elastic_search,f500.elasticsearch,qgerome.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,rotorx88.elasticsearch,1
elastic_search,elastic.elasticsearch,stacktonic.ansible_elasticsearch,1
elastic_search,elastic.elasticsearch,stone-payments.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,tenantcloud.elasticsearch,1
elastic_search,geerlingguy.elasticsearch,viasite-ansible.ansible-role-elasticsearch,1
elastic_search,elastic.elasticsearch,zemmali.elasticsearch,1
elastic_search,inofix.ansible_elasticsearch,zwischenloesung.ansible_elasticsearch,1
elastic_search,shomatan.elasticsearch,aloysius-lim.elasticsearch,0
elastic_search,DoSomethingArchive.search,entercloudsuite.elasticsearch,0
elastic_search,devops.elasticsearch,danielweeber.elasticsearch_exporter,0
elastic_search,arruko.elasticsearch,zwischenloesung.ansible_elasticsearch,0
elastic_search,WissemChb.elasticsearch,denzuko-ansible-roles.elasticsearch,0
elastic_search,opstree_devops.elasticsearch,ZippyAU.aws-elasticsearch-service,0
elastic_search,rolehippie.elasticsearch,jradtilbrook.elasticsearch,0
elastic_search,ElaoInfra.elasticsearch,EDITD.elasticsearch_dev,0
elastic_search,abelboldu.elasticsearch,cyverse-archive.elasticsearch,0
elastic_search,deimosfr.elasticsearch,mikhailadvani.elasticsearch,0
elastic_search,rubencougil.elasticsearch,DoSomethingArchive.search,0
elastic_search,abelboldu.elasticsearch,torian.elasticsearch,0
elastic_search,wosg-virtualenv.elasticsearch,stacktonic.ansible_elasticsearch,0
elastic_search,tschifftner.elasticsearch,opstree_devops.elasticsearch,0
elastic_search,jpnewman.elasticsearch,d3atiq.elasticsearch_svr,0
elastic_search,koallen.elasticsearch,robertdebock.elasticsearch,0
elastic_search,euforia.elasticsearch,AerisCloud.elasticsearch,0
elastic_search,bastiRe.elasticsearch,trombik.opendistroforelasticsearch,0
elastic_search,jradtilbrook.elasticsearch,iaroslavb.elasticsearch,0
elastic_search,euforia.elasticsearch,azavea.elasticsearch,0
elastic_search,cyverse-archive.elasticsearch,hostclick.elasticsearch,0
elastic_search,thorbenj.elasticsearch_exporter,zemmali.elasticsearch,0
elastic_search,jamiguet.elasticsearch,ajgarlag.elasticsearch,0
elastic_search,inhumantsar.elasticsearch,idealista.elasticsearch_role,0
elastic_search,rubencougil.elasticsearch,echiu64.elasticsearch,0
elastic_search,innohub-ansible.elasticsearch-fluentd-kibana,entercloudsuite.elasticsearch,0
elastic_search,mrlesmithjr.elasticsearch,ajgarlag.elasticsearch,0
elastic_search,William-Yeh.elasticsearch,panickervinod.openapphack-elasticsearch,0
elastic_search,fatal-exception.elasticsearch,sfromm.elasticsearch,0
